epoch,train_loss,val_loss,val_macro_f1,val_accuracy,per_class_f1,lr
0,0.5626937422116748,0.3068043041798585,0.8823,0.8867,"{'cloudy': 0.876, 'rainy': 0.8354, 'snowy': 0.9112, 'sunny': 0.9065}",0.0001
1,0.3756025356065616,0.2832953434235434,0.8934,0.8957,"{'cloudy': 0.8818, 'rainy': 0.8664, 'snowy': 0.9129, 'sunny': 0.9123}",9.988946049184609e-05
2,0.3253337580859096,0.2957528439734816,0.8897,0.8912,"{'cloudy': 0.8746, 'rainy': 0.8562, 'snowy': 0.9188, 'sunny': 0.9092}",9.955833566366162e-05
3,0.2951300882184754,0.2708382791848326,0.8976,0.9002,"{'cloudy': 0.889, 'rainy': 0.8693, 'snowy': 0.9161, 'sunny': 0.9161}",9.900810439931104e-05
4,0.26471763625882383,0.2897457215028105,0.8909,0.895,"{'cloudy': 0.8813, 'rainy': 0.847, 'snowy': 0.9205, 'sunny': 0.915}",9.824122416519163e-05
5,0.24128288836474662,0.28456938037031576,0.8977,0.9032,"{'cloudy': 0.8949, 'rainy': 0.8587, 'snowy': 0.9172, 'sunny': 0.9199}",9.726112003459197e-05
6,0.214231813916728,0.31315215021912185,0.8916,0.89,"{'cloudy': 0.8788, 'rainy': 0.8662, 'snowy': 0.9207, 'sunny': 0.9007}",9.607216939048322e-05
7,0.1931838821372339,0.31028588330697154,0.8986,0.9004,"{'cloudy': 0.8913, 'rainy': 0.8656, 'snowy': 0.9243, 'sunny': 0.9132}",9.467968237506411e-05
8,0.1749267118861033,0.3260347327564509,0.9016,0.9016,"{'cloudy': 0.8932, 'rainy': 0.877, 'snowy': 0.9251, 'sunny': 0.9113}",9.308987817337689e-05
9,0.16530613316332593,0.33436573676874515,0.8955,0.8959,"{'cloudy': 0.887, 'rainy': 0.8646, 'snowy': 0.9237, 'sunny': 0.9068}",9.130985723691713e-05
10,0.14381319651313026,0.4208929906051742,0.8941,0.8924,"{'cloudy': 0.8752, 'rainy': 0.8661, 'snowy': 0.9282, 'sunny': 0.9068}",8.93475695712937e-05
11,0.12717166491404205,0.41924839827920124,0.8886,0.8907,"{'cloudy': 0.8788, 'rainy': 0.8489, 'snowy': 0.9188, 'sunny': 0.9078}",8.72117792295739e-05
12,0.12109876306024177,0.4551589206532333,0.8872,0.8841,"{'cloudy': 0.8618, 'rainy': 0.8589, 'snowy': 0.9272, 'sunny': 0.9009}",8.491202516989479e-05
13,0.10269868772554669,0.46337364268953746,0.89,0.8886,"{'cloudy': 0.8731, 'rainy': 0.8605, 'snowy': 0.9241, 'sunny': 0.9024}",8.245857865216071e-05
14,0.09858326034963244,0.47397519967519847,0.8912,0.8914,"{'cloudy': 0.8799, 'rainy': 0.8587, 'snowy': 0.9219, 'sunny': 0.9045}",7.986239736410308e-05
15,0.0949262089433548,0.5092309320055547,0.892,0.8938,"{'cloudy': 0.882, 'rainy': 0.8596, 'snowy': 0.9179, 'sunny': 0.9084}",7.713507648158695e-05
16,0.0805205398325789,0.5292779349032931,0.894,0.8961,"{'cloudy': 0.8864, 'rainy': 0.8596, 'snowy': 0.9193, 'sunny': 0.9106}",7.428879688174084e-05
17,0.07943416970023846,0.5414089260910053,0.8876,0.8893,"{'cloudy': 0.875, 'rainy': 0.8556, 'snowy': 0.9141, 'sunny': 0.9059}",7.133627074020258e-05
18,0.06626310414392536,0.5862229851556451,0.8979,0.8985,"{'cloudy': 0.8884, 'rainy': 0.8677, 'snowy': 0.9248, 'sunny': 0.9107}",6.829068475545687e-05
