epoch,train_loss,val_loss,val_macro_f1,val_accuracy,per_class_f1,lr
0,0.4365138739941242,0.3439595872970452,0.8627,0.8706,"{'cloudy': 0.8455, 'rainy': 0.7844, 'snowy': 0.9104, 'sunny': 0.9105}",0.0001
1,0.2606005211567517,0.3152631385036555,0.8814,0.8831,"{'cloudy': 0.8655, 'rainy': 0.8224, 'snowy': 0.93, 'sunny': 0.9076}",9.988946049184609e-05
2,0.2054898972416286,0.3113055526401674,0.8966,0.8943,"{'cloudy': 0.8815, 'rainy': 0.8685, 'snowy': 0.9306, 'sunny': 0.9059}",9.955833566366162e-05
3,0.1753704397386007,0.3103465253885055,0.8951,0.8983,"{'cloudy': 0.8838, 'rainy': 0.8583, 'snowy': 0.9201, 'sunny': 0.918}",9.900810439931104e-05
4,0.15491021773026836,0.3458635371609038,0.8978,0.8909,"{'cloudy': 0.8719, 'rainy': 0.8862, 'snowy': 0.9323, 'sunny': 0.9008}",9.824122416519163e-05
5,0.14521906150246933,0.3482750693781361,0.8985,0.8954,"{'cloudy': 0.8798, 'rainy': 0.8836, 'snowy': 0.924, 'sunny': 0.9066}",9.726112003459197e-05
6,0.1293371452382665,0.32326426475525033,0.9012,0.9002,"{'cloudy': 0.8826, 'rainy': 0.8742, 'snowy': 0.9321, 'sunny': 0.9159}",9.607216939048322e-05
7,0.11357046921774604,0.3812717289473035,0.8969,0.8976,"{'cloudy': 0.8837, 'rainy': 0.8662, 'snowy': 0.9244, 'sunny': 0.9133}",9.467968237506411e-05
8,0.11351112373159099,0.3581908698967668,0.9014,0.8976,"{'cloudy': 0.8865, 'rainy': 0.8866, 'snowy': 0.9278, 'sunny': 0.9048}",9.308987817337689e-05
9,0.09184325737366188,0.4429442595934589,0.8975,0.8964,"{'cloudy': 0.8793, 'rainy': 0.8817, 'snowy': 0.9171, 'sunny': 0.912}",9.130985723691713e-05
10,0.08770963424495094,0.5901607085178218,0.8793,0.8834,"{'cloudy': 0.8644, 'rainy': 0.8263, 'snowy': 0.9168, 'sunny': 0.9098}",8.93475695712937e-05
11,0.08408094957414343,0.48889886125958537,0.8933,0.8935,"{'cloudy': 0.8809, 'rainy': 0.861, 'snowy': 0.9233, 'sunny': 0.9081}",8.72117792295739e-05
12,0.07330928734402956,0.5601575748504065,0.8927,0.8883,"{'cloudy': 0.8686, 'rainy': 0.8741, 'snowy': 0.9265, 'sunny': 0.9017}",8.491202516989479e-05
13,0.07176127150456865,0.5699245899100255,0.8969,0.8938,"{'cloudy': 0.8772, 'rainy': 0.8775, 'snowy': 0.9263, 'sunny': 0.9068}",8.245857865216071e-05
14,0.0613062667962609,0.5781576298073009,0.9039,0.9021,"{'cloudy': 0.8886, 'rainy': 0.8856, 'snowy': 0.9285, 'sunny': 0.913}",7.986239736410308e-05
15,0.04829057851767404,0.6372937232376611,0.9059,0.8999,"{'cloudy': 0.881, 'rainy': 0.8918, 'snowy': 0.9407, 'sunny': 0.9101}",7.713507648158695e-05
16,0.050706708446795395,0.7498529724409424,0.8988,0.8947,"{'cloudy': 0.8759, 'rainy': 0.8848, 'snowy': 0.9272, 'sunny': 0.9071}",7.428879688174084e-05
17,0.04686721650427614,0.6617483173299569,0.9029,0.9025,"{'cloudy': 0.8881, 'rainy': 0.8756, 'snowy': 0.9314, 'sunny': 0.9167}",7.133627074020258e-05
18,0.04264604996543456,0.7109451523581747,0.9056,0.9028,"{'cloudy': 0.8871, 'rainy': 0.8865, 'snowy': 0.934, 'sunny': 0.9148}",6.829068475545687e-05
19,0.036222660083472163,0.8459454014095409,0.9015,0.8976,"{'cloudy': 0.8798, 'rainy': 0.8844, 'snowy': 0.9319, 'sunny': 0.9098}",6.516564125383888e-05
20,0.032530849732359625,0.8269659317479158,0.8967,0.8886,"{'cloudy': 0.8636, 'rainy': 0.8901, 'snowy': 0.933, 'sunny': 0.9002}",6.197509743824264e-05
21,0.02621598169207573,0.8917809858147973,0.9028,0.9006,"{'cloudy': 0.8859, 'rainy': 0.8814, 'snowy': 0.9306, 'sunny': 0.9133}",5.873330305186492e-05
22,0.029415363300966356,0.9881859519805142,0.8915,0.8905,"{'cloudy': 0.877, 'rainy': 0.8619, 'snowy': 0.9223, 'sunny': 0.9046}",5.545473673539287e-05
23,0.02186568009276544,1.1172020141161836,0.8936,0.8898,"{'cloudy': 0.8764, 'rainy': 0.8835, 'snowy': 0.915, 'sunny': 0.8996}",5.2154041361879886e-05
24,0.02585187025608555,1.03246548798976,0.8951,0.8916,"{'cloudy': 0.872, 'rainy': 0.8766, 'snowy': 0.9249, 'sunny': 0.9068}",4.884595863812011e-05
25,0.022858807127887428,1.048268189200196,0.9018,0.9002,"{'cloudy': 0.8871, 'rainy': 0.8857, 'snowy': 0.9233, 'sunny': 0.9111}",4.554526326460713e-05
