epoch,train_loss,val_loss,val_macro_f1,val_accuracy,per_class_f1,lr
0,0.5489206940290474,0.22753435043294146,0.9208,0.9267,"{'cloudy': 0.9193, 'rainy': 0.9032, 'snowy': 0.9189, 'sunny': 0.9418}",3e-05
1,0.22284072453067416,0.19453035943898495,0.9392,0.9364,"{'cloudy': 0.9248, 'rainy': 0.9291, 'snowy': 0.9573, 'sunny': 0.9458}",2.9967619740035725e-05
2,0.15428836594025294,0.1961346074797051,0.9316,0.9378,"{'cloudy': 0.9297, 'rainy': 0.9147, 'snowy': 0.9286, 'sunny': 0.9534}",2.9870623578244312e-05
3,0.10554620581013816,0.18378764497237685,0.9463,0.9447,"{'cloudy': 0.9369, 'rainy': 0.9302, 'snowy': 0.9655, 'sunny': 0.9524}",2.970944472303051e-05
4,0.07925013779174714,0.20620680782620027,0.9367,0.9419,"{'cloudy': 0.9369, 'rainy': 0.9147, 'snowy': 0.9412, 'sunny': 0.9539}",2.9484803038288462e-05
5,0.06024823334245455,0.2445066362422,0.9329,0.9364,"{'cloudy': 0.9285, 'rainy': 0.9048, 'snowy': 0.9492, 'sunny': 0.9494}",2.9197701828314823e-05
6,0.04373615973052524,0.2938532533662115,0.9415,0.9391,"{'cloudy': 0.9304, 'rainy': 0.9231, 'snowy': 0.9655, 'sunny': 0.9472}",2.884942335680822e-05
7,0.03348653990597952,0.3382178091380173,0.9336,0.9364,"{'cloudy': 0.9281, 'rainy': 0.9091, 'snowy': 0.9474, 'sunny': 0.95}",2.844152311996828e-05
8,0.015669099986553192,0.4158777529783334,0.9343,0.9364,"{'cloudy': 0.9297, 'rainy': 0.9231, 'snowy': 0.9381, 'sunny': 0.9463}",2.7975822899272025e-05
9,0.012562637811615353,0.4124366214181681,0.9389,0.9378,"{'cloudy': 0.9304, 'rainy': 0.9231, 'snowy': 0.9565, 'sunny': 0.9455}",2.745440262495553e-05
10,0.029793231118293035,0.42011797955989966,0.942,0.9419,"{'cloudy': 0.9335, 'rainy': 0.9077, 'snowy': 0.9744, 'sunny': 0.9524}",2.687959108654059e-05
11,0.018220257120473045,0.4973315676398922,0.9405,0.9378,"{'cloudy': 0.9291, 'rainy': 0.9219, 'snowy': 0.9655, 'sunny': 0.9453}",2.625395553189539e-05
12,0.012512067137729553,0.5009505213189166,0.9432,0.9391,"{'cloudy': 0.9286, 'rainy': 0.9231, 'snowy': 0.9744, 'sunny': 0.9468}",2.558029020128232e-05
13,0.012791426870084945,0.5107260895596404,0.9416,0.9419,"{'cloudy': 0.9346, 'rainy': 0.9147, 'snowy': 0.9661, 'sunny': 0.951}",2.486160384760264e-05
