epoch,train_loss,val_loss,val_macro_f1,val_accuracy,per_class_f1,lr
0,0.5868136989003098,0.9767018910497427,0.8936,0.8933,"{'cloudy': 0.8762, 'rainy': 0.8958, 'snowy': 0.8913, 'sunny': 0.9109}",3e-05
1,0.24746995127281626,0.8845571158453822,0.8907,0.8893,"{'cloudy': 0.872, 'rainy': 0.8936, 'snowy': 0.8913, 'sunny': 0.9059}",2.9967619740035725e-05
2,0.16143230988165816,0.7989268507808447,0.893,0.8933,"{'cloudy': 0.8768, 'rainy': 0.9053, 'snowy': 0.8791, 'sunny': 0.9109}",2.9870623578244312e-05
3,0.09863547880101849,0.7248373944312334,0.8991,0.9032,"{'cloudy': 0.8884, 'rainy': 0.9053, 'snowy': 0.8791, 'sunny': 0.9235}",2.970944472303051e-05
4,0.07151640186438689,0.6689345492050052,0.9033,0.9071,"{'cloudy': 0.8936, 'rainy': 0.9149, 'snowy': 0.8791, 'sunny': 0.9257}",2.9484803038288462e-05
5,0.0606354140248653,0.6221357299946249,0.9011,0.9071,"{'cloudy': 0.8936, 'rainy': 0.9032, 'snowy': 0.8791, 'sunny': 0.9284}",2.9197701828314823e-05
6,0.03803766604412247,0.5870429170317948,0.9094,0.915,"{'cloudy': 0.9044, 'rainy': 0.9111, 'snowy': 0.8889, 'sunny': 0.933}",2.884942335680822e-05
7,0.028096276360589104,0.559628076851368,0.9125,0.917,"{'cloudy': 0.904, 'rainy': 0.9111, 'snowy': 0.8989, 'sunny': 0.936}",2.844152311996828e-05
8,0.01927813419417755,0.5385121440049261,0.9172,0.9209,"{'cloudy': 0.9087, 'rainy': 0.9231, 'snowy': 0.8989, 'sunny': 0.9383}",2.7975822899272025e-05
9,0.023839687123089225,0.5217660951893777,0.9137,0.919,"{'cloudy': 0.9065, 'rainy': 0.9111, 'snowy': 0.8989, 'sunny': 0.9383}",2.745440262495553e-05
10,0.018939718956480157,0.5091543761081994,0.9149,0.9209,"{'cloudy': 0.9087, 'rainy': 0.9111, 'snowy': 0.8989, 'sunny': 0.9409}",2.687959108654059e-05
11,0.023150754136008186,0.4964688669424504,0.9149,0.9209,"{'cloudy': 0.9087, 'rainy': 0.9111, 'snowy': 0.8989, 'sunny': 0.9409}",2.625395553189539e-05
12,0.004182311227998218,0.4862147888634354,0.9196,0.9249,"{'cloudy': 0.9129, 'rainy': 0.9231, 'snowy': 0.8989, 'sunny': 0.9435}",2.558029020128232e-05
13,0.009212802894212105,0.47826749982777983,0.9196,0.9249,"{'cloudy': 0.9129, 'rainy': 0.9231, 'snowy': 0.8989, 'sunny': 0.9435}",2.486160384760264e-05
14,0.013998085381211462,0.47151606355328113,0.9196,0.9249,"{'cloudy': 0.9129, 'rainy': 0.9231, 'snowy': 0.8989, 'sunny': 0.9435}",2.4101106298575656e-05
15,0.007503699460947835,0.4654679992236197,0.9263,0.9289,"{'cloudy': 0.9176, 'rainy': 0.9348, 'snowy': 0.9091, 'sunny': 0.9435}",2.330219412086891e-05
16,0.008560000742609436,0.4610443979036063,0.9263,0.9289,"{'cloudy': 0.9176, 'rainy': 0.9348, 'snowy': 0.9091, 'sunny': 0.9435}",2.246843545020692e-05
17,0.007208154813663379,0.4569603272830136,0.9319,0.9348,"{'cloudy': 0.9252, 'rainy': 0.9348, 'snowy': 0.9195, 'sunny': 0.9481}",2.1603554055210866e-05
18,0.0032789596935381762,0.456229020957835,0.9319,0.9348,"{'cloudy': 0.9252, 'rainy': 0.9348, 'snowy': 0.9195, 'sunny': 0.9481}",2.071141270614394e-05
19,0.003944527307474935,0.45728953240904957,0.9351,0.9368,"{'cloudy': 0.9277, 'rainy': 0.9451, 'snowy': 0.9195, 'sunny': 0.9481}",1.97959959228417e-05
20,0.004275647319249205,0.46085908712120727,0.9302,0.9328,"{'cloudy': 0.9231, 'rainy': 0.9451, 'snowy': 0.907, 'sunny': 0.9458}",1.8861392178879166e-05
21,0.004247130423381522,0.46589541545836255,0.9335,0.9348,"{'cloudy': 0.9256, 'rainy': 0.9451, 'snowy': 0.9176, 'sunny': 0.9458}",1.7911775641455386e-05
22,0.005891742990226359,0.47175993805285543,0.9372,0.9368,"{'cloudy': 0.9277, 'rainy': 0.9451, 'snowy': 0.9302, 'sunny': 0.9458}",1.695138752854943e-05
23,0.009033716459934777,0.4778069051390048,0.9384,0.9387,"{'cloudy': 0.9302, 'rainy': 0.9451, 'snowy': 0.9302, 'sunny': 0.9481}",1.598451716661128e-05
24,0.005979861762072589,0.4849586162890773,0.9349,0.9368,"{'cloudy': 0.9281, 'rainy': 0.9333, 'snowy': 0.9302, 'sunny': 0.9481}",1.501548283338872e-05
25,0.0039698465450389965,0.4925783604121534,0.9349,0.9368,"{'cloudy': 0.9281, 'rainy': 0.9333, 'snowy': 0.9302, 'sunny': 0.9481}",1.4048612471450574e-05
26,0.007156394220687248,0.4998082162346691,0.9349,0.9368,"{'cloudy': 0.9281, 'rainy': 0.9333, 'snowy': 0.9302, 'sunny': 0.9481}",1.3088224358544615e-05
27,0.008513558102217881,0.5055525245770696,0.9383,0.9387,"{'cloudy': 0.9306, 'rainy': 0.9333, 'snowy': 0.9412, 'sunny': 0.9481}",1.2138607821120844e-05
28,0.002675729224810729,0.5093149951426312,0.9351,0.9368,"{'cloudy': 0.9281, 'rainy': 0.9231, 'snowy': 0.9412, 'sunny': 0.9481}",1.120400407715831e-05
29,0.002522784360759967,0.5143987209885381,0.9348,0.9368,"{'cloudy': 0.9284, 'rainy': 0.9231, 'snowy': 0.9398, 'sunny': 0.9481}",1.0288587293856064e-05
30,0.003210552640863367,0.5200947977500618,0.9317,0.9348,"{'cloudy': 0.9259, 'rainy': 0.913, 'snowy': 0.9398, 'sunny': 0.9481}",9.396445944789147e-06
31,0.0004950411416388846,0.5265267747017788,0.9294,0.9348,"{'cloudy': 0.9263, 'rainy': 0.9011, 'snowy': 0.9398, 'sunny': 0.9505}",8.531564549793087e-06
32,0.009090286805420308,0.5326005587558029,0.9306,0.9368,"{'cloudy': 0.9284, 'rainy': 0.9011, 'snowy': 0.9398, 'sunny': 0.9531}",7.697805879131098e-06
